"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"3";"";"SMALL_DIODEDO35-7";"DO35-7";"D7, D8, D9";"Small Signal Diode";"";"";
"1";"0u1";"C-EU050-025X075-AARON";"C050-025X075-AARON";"C103";"CAPACITOR, European symbol";"";"";
"2";"100K";"R-US_0207/10";"0207/10";"R35, R36";"RESISTOR, American symbol";"";"";
"1";"10K";"R-US_0207/10";"0207/10";"R24";"RESISTOR, American symbol";"";"";
"1";"10N?";"C-EU050-025X075-AARON";"C050-025X075-AARON";"C1";"CAPACITOR, European symbol";"";"";
"2";"10u";"CPOL-EUE1.8-4";"E1,8-4";"C101, C102";"POLARIZED CAPACITOR, European symbol";"";"";
"1";"15R";"R-US_0207/10";"0207/10";"R23";"RESISTOR, American symbol";"";"";
"1";"15k";"R-US_0207/10";"0207/10";"R17";"RESISTOR, American symbol";"";"";
"3";"1K";"R-US_0207/10";"0207/10";"R4, R30, R32";"RESISTOR, American symbol";"";"";
"2";"1M5";"R-US_0207/10";"0207/10";"R15, R21";"RESISTOR, American symbol";"";"";
"5";"22K";"R-US_0207/10";"0207/10";"R1, R2, R5, R7, R16";"RESISTOR, American symbol";"";"";
"1";"22k";"R-US_0207/10";"0207/10";"R8";"RESISTOR, American symbol";"";"";
"6";"25K";"TRIM_US-B64Y";"B64Y";"CV_A_SCALE, CV_B_SCALE, FREQUENCY, SHAPE_AMOUNT, SHAPE_GATE, SYMMETRY";"POTENTIOMETER";"";"";
"1";"25K";"TRIM_US-RS3";"RS3";"TRIM2";"POTENTIOMETER";"0";"";
"1";"27N";"C-EU050-025X075-AARON";"C050-025X075-AARON";"C3";"CAPACITOR, European symbol";"";"";
"1";"2K2";"R-US_0207/10";"0207/10";"R31";"RESISTOR, American symbol";"";"";
"3";"2N2222";"2N2222";"TO92-EBC-OVAL";"Q1, Q2, Q3";"NPN TRANSISTOR";"";"";
"1";"30P";"C-EU050-025X075-AARON";"C050-025X075-AARON";"C6";"CAPACITOR, European symbol";"";"";
"5";"330K";"R-US_0207/10";"0207/10";"R9, R10, R11, R12, R18";"RESISTOR, American symbol";"";"";
"4";"330R";"R-US_0207/10";"0207/10";"R28, R29, R33, R34";"RESISTOR, American symbol";"";"";
"2";"33K";"R-US_0207/10";"0207/10";"R22, R26";"RESISTOR, American symbol";"";"";
"1";"3K3";"R-US_0207/10";"0207/10";"R25";"RESISTOR, American symbol";"";"";
"1";"3M3";"R-US_0207/10";"0207/10";"R3";"RESISTOR, American symbol";"";"";
"1";"3k3";"R-US_0207/10";"0207/10";"R19";"RESISTOR, American symbol";"";"";
"1";"47P";"C-EU050-025X075-AARON";"C050-025X075-AARON";"C4";"CAPACITOR, European symbol";"";"";
"2";"47U";"CPOL-EUE1.8-4";"E1,8-4";"C8, C9";"POLARIZED CAPACITOR, European symbol";"";"";
"1";"4K7";"R-US_0207/10";"0207/10";"R20";"RESISTOR, American symbol";"";"";
"1";"4M7";"R-US_0207/10";"0207/10";"R14";"RESISTOR, American symbol";"";"";
"1";"4U7";"C-EU050-025X075-AARON";"C050-025X075-AARON";"C7";"CAPACITOR, European symbol";"";"";
"2";"820k?";"R-US_0207/10";"0207/10";"R6, R13";"RESISTOR, American symbol";"";"";
"1";"82K";"R-US_0207/10";"0207/10";"R27";"RESISTOR, American symbol";"";"";
"2";"82P";"C-EU050-025X075-AARON";"C050-025X075-AARON";"C2, C5";"CAPACITOR, European symbol";"";"";
"2";"BEAD";"L-US0207/10";"0207/10";"L1, L3";"INDUCTOR, American symbol";"6";"L";
"1";"Eurorack Connector";"PINHD-2X5";"2X05";"JP1";"PIN HEADER";"35";"";
"3";"IOPAD_AARON";"IOPAD_AARON";"ELLIPTICALPADSINGLE";"TESTPOINT1, TESTPOINT2, TESTPOINT3";"";"";"";
"1";"LM3900N";"LM3900N";"DIL14";"IC1";"OP AMP";"0";"";
"8";"OFFBOARD2JACKALT_AARON";"OFFBOARD2JACKALT_AARON";"OFFBOARD2JACKALT";"CVA, CVB, SAW_AC, SAW_DC, SYNC, WAVECV, WAVE_AC, WAVE_DC";"";"";"";
