"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J14";"SolderWirePad_1x01_Drill1mm";1;"Sig_In_B";;;
2;"J19";"SolderWirePad_1x01_Drill1mm";1;"OUTB";;;
3;"C3,C4,C5,C6";"C_Rect_L7.0mm_W2.5mm_P5.00mm";4;"0.1uF";;;
4;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad";4;"MountingHole_3.5mm_Pad";;;
5;"C1,C2";"CP_Radial_D5.0mm_P2.50mm";2;"10uF";;;
6;"J1";"SolderWirePad_1x01_Drill1mm";1;"CVA1";;;
7;"J2";"SolderWirePad_1x01_Drill1mm";1;"CVA2";;;
8;"J3";"SolderWirePad_1x01_Drill1mm";1;"Sig_In_A";;;
9;"J4";"SolderWirePad_1x01_Drill1mm";1;"ADJA";;;
10;"J8";"SolderWirePad_1x01_Drill1mm";1;"LOGA";;;
11;"J9";"SolderWirePad_1x01_Drill1mm";1;"CMNA";;;
12;"J10";"SolderWirePad_1x01_Drill1mm";1;"LINA";;;
13;"J11";"SolderWirePad_1x01_Drill1mm";1;"OUTA";;;
14;"J12";"SolderWirePad_1x01_Drill1mm";1;"CVB1";;;
15;"J13";"SolderWirePad_1x01_Drill1mm";1;"CVB2";;;
16;"J15";"SolderWirePad_1x01_Drill1mm";1;"ADJB";;;
17;"J16";"SolderWirePad_1x01_Drill1mm";1;"LOGB";;;
18;"J17";"SolderWirePad_1x01_Drill1mm";1;"CMNB";;;
19;"J18";"SolderWirePad_1x01_Drill1mm";1;"LINB";;;
20;"Q1,Q3";"TO-92_Inline_Wide";2;"2N3904";;;
21;"Q2,Q4";"TO-92_Inline_Wide";2;"2N3906";;;
22;"R1,R2,R3,R4,R6,R13,R16,R22,R23,R24,R25,R27,R34,R37";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";14;"100K";;;
23;"R5,R26";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"2M";;;
24;"R7,R28";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"150";;;
25;"R8,R9,R11,R29,R30,R32";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";6;"2K";;;
26;"R10,R31";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"120K";;;
27;"R12,R19,R33,R40";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"20K";;;
28;"R14,R35";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470K";;;
29;"R15,R36";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"47K";;;
30;"R17,R38";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"470";;;
31;"R18,R39";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"4.7K";;;
32;"R20,R41";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"1K";;;
33;"R21,R42";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"30K";;;
34;"RV2,RV5";"Potentiometer_Runtron_RM-065_Vertical";2;"100K";;;
35;"RV3,RV6";"Potentiometer_Runtron_RM-065_Vertical";2;"2K";;;
36;"U1";"DIP-14_W7.62mm_Socket";1;"TL084";;;
37;"U2";"DIP-16_W7.62mm_Socket";1;"LM13700";;;
38;"J5";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"+12V_Conn";;;
39;"J6";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"-12V_Conn";;;
40;"J7";"SolderWirePad_1x02_P3.81mm_Drill1mm";1;"GND_Conn";;;
